Radius	Number of Clusters	AveSize
0	0	0.000000	
1	0	0.000000	
2	0	0.000000	
3	0	0.000000	
4	0	0.000000	
5	0	0.000000	
6	0	0.000000	
7	2	4.000000	
8	2	3.500000	
9	16	3.062500	
10	50	3.580000	
11	32	3.843750	
12	3	4.333333	
13	18	5.000000	
14	38	5.052632	
15	9	5.111111	
16	13	6.000000	
17	25	6.000000	
18	14	6.142857	
19	13	7.000000	
20	19	7.052632	
21	12	7.583333	
22	12	7.916667	
23	10	8.600000	
24	12	8.833333	
25	8	9.125000	
26	16	9.687500	
27	9	10.444444	
28	19	10.789474	
29	10	11.400000	
30	6	9.166667	
31	5	12.200000	
32	6	9.500000	
33	10	9.000000	
34	13	13.153846	
35	8	11.250000	
36	5	12.800000	
37	1	2.000000	
38	5	16.200000	
39	1	15.000000	
40	2	9.000000	
41	0	0.000000	
42	2	21.500000	
43	0	0.000000	
44	0	0.000000	
45	1	22.000000	
46	0	0.000000	
47	0	0.000000	
48	0	0.000000	
49	1	2.000000	
50	0	0.000000	
51	0	0.000000	
52	0	0.000000	
53	0	0.000000	
54	0	0.000000	
55	0	0.000000	
56	0	0.000000	
57	0	0.000000	
58	0	0.000000	
59	0	0.000000	
60	0	0.000000	
61	0	0.000000	
62	0	0.000000	
63	0	0.000000	
64	0	0.000000	
65	0	0.000000	
66	0	0.000000	
67	0	0.000000	
68	0	0.000000	
69	0	0.000000	
70	0	0.000000	
71	0	0.000000	
72	0	0.000000	
73	0	0.000000	
74	0	0.000000	
75	0	0.000000	
76	0	0.000000	
77	0	0.000000	
78	0	0.000000	
79	0	0.000000	
80	0	0.000000	
