Radius	Number of Clusters	AveSize
0	75	1.000000	
1	0	0.000000	
2	0	0.000000	
3	0	0.000000	
4	1	3.000000	
5	0	0.000000	
6	0	0.000000	
7	2	4.000000	
8	1	4.000000	
9	3	3.000000	
10	24	3.125000	
11	21	3.428571	
12	11	3.545455	
13	3	4.000000	
14	5	5.000000	
15	4	5.000000	
16	5	4.800000	
17	4	4.500000	
18	0	0.000000	
19	6	6.000000	
20	2	6.000000	
21	1	8.000000	
22	1	7.000000	
23	0	0.000000	
24	0	0.000000	
25	1	8.000000	
26	0	0.000000	
27	0	0.000000	
28	0	0.000000	
29	0	0.000000	
30	2	2.000000	
31	6	2.000000	
32	2	2.500000	
33	3	2.000000	
34	8	2.000000	
35	7	2.000000	
36	3	2.000000	
37	10	2.000000	
38	11	2.000000	
39	6	2.000000	
40	7	2.000000	
41	5	2.000000	
42	2	2.000000	
43	0	0.000000	
44	1	2.000000	
45	0	0.000000	
46	1	2.000000	
47	1	2.000000	
48	1	3.000000	
49	0	0.000000	
50	0	0.000000	
51	1	2.000000	
52	0	0.000000	
53	0	0.000000	
54	0	0.000000	
55	0	0.000000	
56	0	0.000000	
57	0	0.000000	
58	0	0.000000	
59	0	0.000000	
60	0	0.000000	
61	0	0.000000	
62	0	0.000000	
63	0	0.000000	
64	0	0.000000	
65	0	0.000000	
66	0	0.000000	
67	0	0.000000	
68	0	0.000000	
69	0	0.000000	
70	0	0.000000	
71	0	0.000000	
72	0	0.000000	
73	0	0.000000	
74	0	0.000000	
75	0	0.000000	
76	0	0.000000	
77	0	0.000000	
78	0	0.000000	
79	0	0.000000	
80	0	0.000000	
